,Participant,Stimulus,1st Region,2nd Region,3rd Region,length
1626,45,extrovertism_q21.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
1628,45,flight_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, mouth+chin",3.0
1630,45,food_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, nose+cheeks",3.0
1632,45,last_hour_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, nose+cheeks",3.0
1634,45,movies_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, mouth+chin",3.0
1638,45,music_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, nose+cheeks",3.0
1641,45,pets_q21.avi,nose+cheeks,"nose+cheeks, eyes+eyebrows","3: nose+cheeks, eyes+eyebrows, nose+cheeks",3.0
1643,45,smartphone_q2.avi,nose+cheeks,"nose+cheeks, mouth+chin","3: nose+cheeks, mouth+chin, eyes+eyebrows",3.0
1645,45,sports_q21.avi,nose+cheeks,"nose+cheeks, mouth+chin","3: nose+cheeks, mouth+chin, nose+cheeks",3.0
1648,45,theatre_q2.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
1650,45,tv_q21.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
1652,45,university_q22.avi,mouth+chin,"mouth+chin, nose+cheeks","3: mouth+chin, nose+cheeks, eyes+eyebrows",3.0
