,Participant,Stimulus,1st Region,2nd Region,3rd Region,length
112,4,cleaning_q11.avi,eyes+eyebrows,mouth+chin,none,2.0
113,4,cleaning_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
114,4,cleaning_q31.avi,eyes+eyebrows,nose+cheeks,mouth+chin,3.0
115,4,clothes_q11.avi,nose+cheeks,mouth+chin,none,2.0
116,4,clothes_q21.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
117,4,clothes_q3.avi,mouth+chin,nose+cheeks,none,2.0
118,4,color_q11.avi,eyes+eyebrows,nose+cheeks,none,2.0
119,4,color_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
120,4,concerts_q11.avi,eyes+eyebrows,nose+cheeks,none,2.0
121,4,concerts_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
122,4,concerts_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
123,4,date_birth_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
124,4,date_birth_q21.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
125,4,date_birth_q3.avi,eyes+eyebrows,mouth+chin,nose+cheeks,3.0
126,4,extrovertism_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
127,4,extrovertism_q21.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
128,4,flight_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
129,4,flight_q21.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
130,4,food_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
131,4,food_q21.avi,eyes+eyebrows,nose+cheeks,none,2.0
132,4,last_hour_q11.avi,eyes+eyebrows,nose+cheeks,mouth+chin,3.0
133,4,last_hour_q21.avi,eyes+eyebrows,nose+cheeks,none,2.0
134,4,movies_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
135,4,movies_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
136,4,movies_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
137,4,movies_q4.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
138,4,music_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
139,4,music_q21.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
140,4,music_q31.avi,eyes+eyebrows,nose+cheeks,none,2.0
141,4,pets_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
142,4,pets_q21.avi,eyes+eyebrows,nose+cheeks,mouth+chin,3.0
143,4,smartphone_q1.avi,forehead,eyes+eyebrows,forehead,3.0
144,4,smartphone_q2.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
145,4,sports_q11.avi,eyes+eyebrows,nose+cheeks,none,2.0
146,4,sports_q21.avi,eyes+eyebrows,mouth+chin,eyes+eyebrows,3.0
147,4,sports_q31.avi,eyes+eyebrows,nose+cheeks,mouth+chin,3.0
148,4,theatre_q1.avi,eyes+eyebrows,mouth+chin,none,2.0
149,4,theatre_q2.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
150,4,tv_q11.avi,eyes+eyebrows,nose+cheeks,none,2.0
151,4,tv_q21.avi,eyes+eyebrows,nose+cheeks,mouth+chin,3.0
152,4,university_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
